subject,filename,onset_frame,apex_frame,offset_frame,onset_frame_path,apex_frame_path,offset_frame_path,optical_flow_path
sub0008,sub0008_01,0,95,195,dfme_testA/sub0008_01/00000.png,dfme_testA/sub0008_01/00095.png,dfme_testA/sub0008_01/00195.png,optical_flow/dfme_testA/apex/dfme_testA_apex_0.jpg
sub0008,sub0008_02,0,97,199,dfme_testA/sub0008_02/00000.png,dfme_testA/sub0008_02/00097.png,dfme_testA/sub0008_02/00199.png,optical_flow/dfme_testA/apex/dfme_testA_apex_1.jpg
sub0008,sub0008_03,0,102,209,dfme_testA/sub0008_03/00000.png,dfme_testA/sub0008_03/00102.png,dfme_testA/sub0008_03/00209.png,optical_flow/dfme_testA/apex/dfme_testA_apex_2.jpg
sub0008,sub0008_04,0,87,179,dfme_testA/sub0008_04/00000.png,dfme_testA/sub0008_04/00087.png,dfme_testA/sub0008_04/00179.png,optical_flow/dfme_testA/apex/dfme_testA_apex_3.jpg
sub0008,sub0008_05,22,131,244,dfme_testA/sub0008_05/00022.png,dfme_testA/sub0008_05/00131.png,dfme_testA/sub0008_05/00244.png,optical_flow/dfme_testA/apex/dfme_testA_apex_4.jpg
sub0008,sub0008_06,49,138,232,dfme_testA/sub0008_06/00049.png,dfme_testA/sub0008_06/00138.png,dfme_testA/sub0008_06/00232.png,optical_flow/dfme_testA/apex/dfme_testA_apex_5.jpg
sub0008,sub0008_07,0,97,199,dfme_testA/sub0008_07/00000.png,dfme_testA/sub0008_07/00097.png,dfme_testA/sub0008_07/00199.png,optical_flow/dfme_testA/apex/dfme_testA_apex_6.jpg
sub0008,sub0008_08,0,121,246,dfme_testA/sub0008_08/00000.png,dfme_testA/sub0008_08/00121.png,dfme_testA/sub0008_08/00246.png,optical_flow/dfme_testA/apex/dfme_testA_apex_7.jpg
sub0008,sub0008_09,0,94,192,dfme_testA/sub0008_09/00000.png,dfme_testA/sub0008_09/00094.png,dfme_testA/sub0008_09/00192.png,optical_flow/dfme_testA/apex/dfme_testA_apex_8.jpg
sub0008,sub0008_10,25,133,246,dfme_testA/sub0008_10/00025.png,dfme_testA/sub0008_10/00133.png,dfme_testA/sub0008_10/00246.png,optical_flow/dfme_testA/apex/dfme_testA_apex_9.jpg
sub0581,sub0581_01,0,35,74,dfme_testA/sub0581_01/00000.png,dfme_testA/sub0581_01/00035.png,dfme_testA/sub0581_01/00074.png,optical_flow/dfme_testA/apex/dfme_testA_apex_10.jpg
sub0581,sub0581_02,0,76,156,dfme_testA/sub0581_02/00000.png,dfme_testA/sub0581_02/00076.png,dfme_testA/sub0581_02/00156.png,optical_flow/dfme_testA/apex/dfme_testA_apex_11.jpg
